raw data,unmodified,oxidized (0.5 hr),oxidized (1 hr),oxidized (2 hr),oxidized (4 hr),cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr)
wavenumber (cm-1),intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity
1575,73.74293468,61.04903778,44.02071818,34.4340087,38.87162081,21.93698273,18.8637098,20.43742759,19.79590522
1577,73.7057722,68.27492577,52.4368622,40.72666788,43.83013139,22.56798935,19.34153786,20.90271529,19.42577877
1579,78.75838971,73.43519446,60.64890432,48.33119757,47.07381132,23.00368144,20.39852936,20.56233776,19.0593831
1581,82.85898171,77.79632293,59.49070889,50.47826502,49.25825403,22.29699742,20.5406364,20.2482117,18.57911931
1583,85.21979661,82.6326511,61.14685107,54.34203994,51.15908839,22.04560304,20.3209952,20.17013144,17.9865335
1585,87.03479557,87.56746405,62.79002008,56.73359605,51.99756911,22.80645613,20.38777606,19.7910271,17.41939274
1587,85.53795017,91.43145545,69.86513258,57.04362226,54.19141424,23.41451072,20.96564167,19.80319573,17.1751507
1589,87.65719968,94.55825533,70.67498902,55.10879801,57.91520629,23.24124694,21.42872685,20.20743941,17.09818984
1591,90.80623088,97.52704654,67.5758931,58.59594323,61.46476398,23.31794068,21.85107124,20.38748127,16.79454589
1593,93.70964273,99.4931963,71.0296337,62.62858559,63.39892593,23.38356968,21.79776978,20.66597663,16.74470982
1595,93.51507494,100,74.73250555,65.14593853,66.01625858,23.89281813,22.45076672,21.45966146,16.79047507
1597,93.55905492,99.82778254,77.04451132,66.37491518,70.07680035,24.63539206,23.17770377,22.11181817,17.16375777
1599,95.56895009,98.94992616,81.86823909,69.94104716,73.49494985,25.47630298,24.01269346,22.94735688,17.37706853
1601,98.1362189,96.4320478,86.41844414,74.70087362,76.01152787,25.89842507,24.4600608,23.66501048,17.75566321
1603,100,94.33591317,89.84119665,78.15231329,80.57941838,26.87059397,25.47888535,24.61750332,18.41204366
1605,99.81484443,91.27537227,87.67669115,83.23294165,84.15711711,27.83570119,27.07650321,25.37112095,19.28159013
1607,99.90024996,87.2385102,87.32407081,84.29003565,84.94470111,28.71112406,28.15120812,26.06490209,19.89121825
1609,97.65680435,82.81127078,91.94425793,85.65276519,87.60197683,29.50005817,29.13359931,27.42897333,20.30571383
1611,96.00009679,79.63308259,96.41876967,86.69418133,91.2204577,30.27806176,30.25370069,28.77165756,20.69211597
1613,93.78318076,76.31506081,94.91331589,87.99307973,92.73957884,31.38766482,31.54771139,29.60589708,21.30449101
1615,89.07102513,72.50054513,89.26303425,87.90086941,92.99106267,32.05815622,31.90108139,29.92416319,21.48330372
1617,88.15575933,68.6732265,89.99229231,92.92576669,97.86449867,33.84079976,34.44190558,32.54799345,23.33323192
1619,88.84288098,66.65814034,96.60168889,96.48289599,99.49855088,35.69627438,35.37578256,33.87654044,24.09294337
1621,86.94638791,63.70686363,99.02641979,95.76816822,97.26781375,36.22866321,35.48451732,34.01804137,24.85972021
1623,86.20023075,59.96646776,97.0966012,97.23851945,98.35670495,37.6816667,37.02120283,35.43797994,26.18262878
1625,84.82573029,57.22776989,94.42132168,99.58277763,99.48592097,38.12466567,38.01567482,36.5224703,26.58920463
1627,84.02343129,54.05664775,94.30656355,100,100,38.3232388,39.01406924,37.61733809,27.33848305
1629,84.56160097,51.43415915,100,99.90596937,99.41824006,39.27171396,40.21782777,38.32093369,28.15697685
1631,82.61955869,49.60749944,98.94361854,95.92800718,97.92928437,39.77313162,40.40534767,38.27918921,28.52797547
